p	A	B	C	rho	sigma	pairing	M	N	reason
41	2	9	16	25	8	1	-1	-1	projective_MN_missing_6
41	2	9	16	25	8	2	-1	-1	projective_MN_missing_6
41	2	9	16	25	8	3	-1	-1	projective_MN_missing_6
41	2	16	9	25	8	1	-1	-1	projective_MN_missing_6
41	2	16	9	25	8	2	-1	-1	projective_MN_missing_6
41	2	16	9	25	8	3	-1	-1	projective_MN_missing_6
41	9	2	16	25	8	1	-1	-1	projective_MN_missing_6
41	9	2	16	25	8	2	-1	-1	projective_MN_missing_6
41	9	2	16	25	8	3	-1	-1	projective_MN_missing_6
41	9	16	2	25	8	1	-1	-1	projective_MN_missing_6
41	9	16	2	25	8	2	-1	-1	projective_MN_missing_6
41	9	16	2	25	8	3	-1	-1	projective_MN_missing_6
41	16	2	9	25	8	1	-1	-1	projective_MN_missing_6
41	16	2	9	25	8	2	-1	-1	projective_MN_missing_6
41	16	2	9	25	8	3	-1	-1	projective_MN_missing_6
41	16	9	2	25	8	1	-1	-1	projective_MN_missing_6
41	16	9	2	25	8	2	-1	-1	projective_MN_missing_6
41	16	9	2	25	8	3	-1	-1	projective_MN_missing_6
41	18	21	32	33	16	1	-1	-1	projective_MN_missing_6
41	18	21	32	33	16	2	-1	-1	projective_MN_missing_6
41	18	21	32	33	16	3	-1	-1	projective_MN_missing_6
41	18	32	21	33	16	1	-1	-1	projective_MN_missing_6
41	18	32	21	33	16	2	-1	-1	projective_MN_missing_6
41	18	32	21	33	16	3	-1	-1	projective_MN_missing_6
41	21	18	32	33	16	1	-1	-1	projective_MN_missing_6
41	21	18	32	33	16	2	-1	-1	projective_MN_missing_6
41	21	18	32	33	16	3	-1	-1	projective_MN_missing_6
41	21	32	18	33	16	1	-1	-1	projective_MN_missing_6
41	21	32	18	33	16	2	-1	-1	projective_MN_missing_6
41	21	32	18	33	16	3	-1	-1	projective_MN_missing_6
41	32	18	21	33	16	1	-1	-1	projective_MN_missing_6
41	32	18	21	33	16	2	-1	-1	projective_MN_missing_6
41	32	18	21	33	16	3	-1	-1	projective_MN_missing_6
41	32	21	18	33	16	1	-1	-1	projective_MN_missing_6
41	32	21	18	33	16	2	-1	-1	projective_MN_missing_6
41	32	21	18	33	16	3	-1	-1	projective_MN_missing_6
