p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	1	11	16	23	6	31	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	2	37	29	39	18	38	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	6	7	30	4	17	29	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	8	39	3	39	33	3	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	15	38	35	16	34	36	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	16	29	17	5	0	13	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	19	6	40	18	13	13	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	19	9	38	2	28	28	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	20	11	2	5	27	28	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	21	23	29	1	27	19	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	22	14	26	8	5	17	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	30	36	9	36	9	29	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	32	0	6	37	36	25	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	33	13	17	31	37	26	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	35	32	3	9	8	27	12	24	2
41	2	9	16	16	33	1	18	40	21	16	16	40	11	18	15	32	38	8	21	25	18	36	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	1	11	16	23	6	31	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	2	37	29	39	18	38	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	6	7	30	4	17	29	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	8	39	3	39	33	3	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	15	38	35	16	34	36	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	16	29	17	5	0	13	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	19	6	40	18	13	13	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	19	9	38	2	28	28	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	20	11	2	5	27	28	12	24	2
41	2	9	16	16	33	2	18	21	40	16	16	40	11	18	15	32	21	23	29	1	27	19	12	24	2
