family	p	status	finite_cover	finite_smooth	finite_live	finite_singular	infinity_full	live_T	J_orders
F1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F1	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F1	11	LIVE	4	2	2	2	0	[ 1, 10 ]	[ -1, -1 ]
F1	13	LIVE	4	0	4	4	0	[ 1, 5, 8, 12 ]	[ -1, -1, -1, -1 ]
F1	17	LIVE	4	0	4	4	0	[ 1, 5, 12, 16 ]	[ -1, -1, -1, -1 ]
F1	19	LIVE	4	2	2	2	0	[ 1, 18 ]	[ -1, -1 ]
F1	23	LIVE	4	0	5	4	1	[ 1, 5, 18, 22, -1 ]	[ -1, -1, -1, -1, -2 ]
F1	29	LIVE	4	4	3	0	1	[ 1, 28, -1 ]	[ 960, 960, -2 ]
F1	31	LIVE	6	4	2	2	0	[ 5, 26 ]	[ -1, -1 ]
F1	37	LIVE	8	8	6	0	0	[ 1, 8, 13, 24, 29, 36 ]	[ 1344, 1536, 1920, 1920, 1536, 1344 ]
F1	41	LIVE	8	6	3	2	1	[ 12, 29, -1 ]	[ -1, -1, -2 ]
F1	43	LIVE	13	0	14	13	1	[ 0, 1, 5, 7, 8, 10, 17, 26, 33, 35, 36, 38, 42, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
F2	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F2	7	LIVE	7	0	8	7	1	[ 0, 1, 2, 3, 4, 5, 6, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -2 ]
F2	11	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F2	13	LIVE	4	2	2	2	0	[ 1, 12 ]	[ -1, -1 ]
F2	17	LIVE	5	0	6	5	1	[ 0, 1, 5, 12, 16, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
F2	19	LIVE	4	2	2	2	0	[ 1, 18 ]	[ -1, -1 ]
F2	23	LIVE	4	2	2	2	0	[ 11, 12 ]	[ -1, -1 ]
F2	29	LIVE	6	4	2	2	0	[ 3, 26 ]	[ -1, -1 ]
F2	31	DEAD	4	4	0	0	0	[]	[]
F3	5	LIVE	3	0	3	3	0	[ 0, 1, 4 ]	[ -1, -1, -1 ]
F3	7	LIVE	4	0	4	4	0	[ 1, 3, 4, 6 ]	[ -1, -1, -1, -1 ]
F3	11	LIVE	4	0	4	4	0	[ 1, 4, 7, 10 ]	[ -1, -1, -1, -1 ]
F3	13	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F3	17	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F3	19	LIVE	19	0	20	19	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
F3	23	DEAD	6	6	0	0	0	[]	[]
F4	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F4	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F4	11	LIVE	11	0	12	11	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
F4	13	LIVE	4	2	2	2	0	[ 1, 12 ]	[ -1, -1 ]
F4	17	LIVE	3	2	1	1	0	[ 0 ]	[ -1 ]
