family	p	status	finite_cover	finite_smooth	finite_live	finite_singular	infinity_full	live_T	J_orders
F1	47	LIVE	9	8	4	1	1	[ 0, 5, 42, -1 ]	[ -1, 2880, 2880, -2 ]
F1	53	LIVE	8	6	4	2	0	[ 5, 7, 46, 48 ]	[ 3072, -1, -1, 3072 ]
F1	59	LIVE	10	6	10	4	0	[ 1, 5, 9, 22, 27, 32, 37, 50, 54, 58 ]	[ 2880, 3264, -1, -1, 4032, 4032, -1, -1, 3264, 2880 ]
F1	61	LIVE	10	10	5	0	1	[ 3, 5, 56, 58, -1 ]	[ 4032, 3264, 3264, 4032, -2 ]
F1	67	LIVE	11	10	2	1	1	[ 0, -1 ]	[ -1, -2 ]
F1	71	LIVE	12	12	4	0	0	[ 1, 26, 45, 70 ]	[ 4992, 5760, 5760, 4992 ]
F1	73	LIVE	8	8	4	0	0	[ 5, 11, 62, 68 ]	[ 5376, 5376, 5376, 5376 ]
F1	79	LIVE	10	10	4	0	0	[ 1, 39, 40, 78 ]	[ 8064, 5376, 5376, 8064 ]
F1	83	LIVE	14	12	7	2	1	[ 1, 2, 3, 80, 81, 82, -1 ]	[ 6336, 8064, -1, -1, 8064, 6336, -2 ]
F1	89	LIVE	8	8	5	0	1	[ 1, 34, 55, 88, -1 ]	[ 9216, 9216, 9216, 9216, -2 ]
F1	97	LIVE	12	12	2	0	0	[ 5, 92 ]	[ 10368, 10368 ]
F1	101	LIVE	17	16	6	1	1	[ 0, 38, 40, 61, 63, -1 ]	[ -1, 9216, 9216, 9216, 9216, -2 ]
F1	103	LIVE	16	12	9	4	1	[ 4, 10, 23, 37, 66, 80, 93, 99, -1 ]	[ -1, -1, 10752, 9408, 9408, 10752, -1, -1, -2 ]
F1	107	LIVE	12	12	1	0	1	[ -1 ]	[ -2 ]
F1	109	LIVE	16	16	11	0	1	[ 1, 5, 27, 33, 54, 55, 76, 82, 104, 108, -1 ]	[ 13824, 11712, 12864, 13824, 9216, 9216, 13824, 12864, 11712, 13824, -2 ]
F1	113	LIVE	18	18	8	0	0	[ 1, 8, 34, 55, 58, 79, 105, 112 ]	[ 14208, 13824, 10368, 10368, 10368, 10368, 13824, 14208 ]
