fiber	prime	finite_T_classes	infinity_allowed	allzero_infinity_chart
P8	11	1,2,3,4,5,6,7,8,9,10	1	0
F1	11	1,10	1	0
F2	11	0,1,2,3,4,5,6,7,8,9,10	0	1
F3	11	0,1,2,4,7,9,10	1	0
F4	11	0,1,10	1	0
F5	11	0,1,2,4,7,9,10	1	0
F6	11	2,9	1	0
F7	11	0,1,3,5,6,8,10	1	0
N1	11	0,1,2,4,7,9,10	1	0
N2	11	0,1,2,4,7,9,10	1	0
N3	11	0,1,3,5,6,8,10	1	0
N4	11	0,5,6	1	0
N5	11	0,1,10	1	0
N6	11	1,10	1	0
N7	11	0,2,3,4,7,8,9	1	0
N8	11		0	1
N9	11	0,1,2,4,7,9,10	1	0
N10	11		0	1
N11	11	5,6	1	0
N12	11	1,2,3,4,5,6,7,8,9,10	1	0
O1	11	0,3,4,5,6,7,8	1	0
O2	11	1,10	1	0
O3	11	0,2,3,4,7,8,9	1	0
O4	11	5,6	1	0
O5	11	0,3,4,5,6,7,8	1	0
O6	11	0,1,2,3,4,5,6,7,8,9,10	0	1
O7	11	0,1,3,5,6,8,10	1	0
O8	11	0,2,9	1	0
O9	11	0,2,9	1	0
M1	11	1,2,4,7,9,10	1	0
M2	11	0,1,2,3,4,5,6,7,8,9,10	0	1
M3	11	2,3,5,6,8,9	1	0
M4	11	2,9	1	0
M5	11	0,2,9	1	0
R1	11	0,3,4,5,6,7,8	1	0
R2	11	1,2,3,4,5,6,7,8,9,10	1	0
R3	11	0,1,10	1	0
R4	11	0,1,3,5,6,8,10	1	0
R5	11	2,9	1	0
R6	11	1,2,3,4,5,6,7,8,9,10	1	0
R7	11	0,1,3,5,6,8,10	1	0
S1	11	1,10	1	0
S2	11	5,6	1	0
S3	11		0	1
U1	11	0,3,4,5,6,7,8	1	0
U2	11	0,2,3,4,7,8,9	1	0
V1	11	1,2,3,4,5,6,7,8,9,10	1	0
V2	11	0,2,3,4,7,8,9	1	0
W1	11	0,1,3,5,6,8,10	1	0
W2	11	2,3,5,6,8,9	1	0
X1	11	1,2,3,4,5,6,7,8,9,10	1	0
Y1	11	2,3,5,6,8,9	1	0
Z1	11	0,2,3,4,7,8,9	1	0
AA1	11	5,6	1	0
P8	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
F1	13	1,5,8,12	1	0
F2	13	0	1	0
F3	13		0	1
F4	13		1	0
F5	13		1	0
F6	13	0	1	0
F7	13		1	0
N1	13	0,1,4,5,6,7,8,9,12	1	0
N2	13	0,1,5,8,12	1	0
N3	13		1	0
N4	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
N5	13		1	0
N6	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
N7	13	0,2,3,10,11	1	0
N8	13	2,3,10,11	1	0
N9	13	4,6,7,9	1	0
N10	13	1,5,8,12	1	0
N11	13		0	1
N12	13	0,2,3,10,11	1	0
O1	13		1	0
O2	13		0	1
O3	13	0	1	0
O4	13		1	0
O5	13	0,4,6,7,9	1	0
O6	13	0,1,2,3,5,8,10,11,12	1	0
O7	13	0,1,2,3,5,8,10,11,12	1	0
O8	13	4,6,7,9	1	0
O9	13		1	0
M1	13	1,5,8,12	1	0
M2	13	0,1,5,8,12	1	0
M3	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
M4	13		1	0
M5	13	4,6,7,9	1	0
R1	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
R2	13	0,1,2,3,4,5,6,7,8,9,10,11,12	0	1
R3	13		0	1
R4	13	0	1	0
R5	13		1	0
R6	13	0,1,4,5,6,7,8,9,12	1	0
R7	13		1	0
S1	13	0,1,5,8,12	1	0
S2	13		0	1
S3	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
U1	13	0	1	0
U2	13		1	0
V1	13	1,5,8,12	1	0
V2	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
W1	13	2,3,10,11	1	0
W2	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
X1	13	0,1,4,5,6,7,8,9,12	1	0
Y1	13	0,1,5,8,12	1	0
Z1	13	2,3,4,6,7,9,10,11	1	0
AA1	13	1,2,3,4,5,6,7,8,9,10,11,12	1	0
