fiber	prime	finite_T_classes	infinity_depth1_z	infinity_depth_ge2
P8	11	0,1,2,3,4,5,6,7,8,9,10	1,2,3,4,5,6,7,8,9,10	1
F1	11	1,10	1,2,3,4,5,6,7,8,9,10	1
F2	11	0,1,2,3,4,5,6,7,8,9,10	1,2,4,7,9,10	1
F3	11	0,1,2,4,7,9,10	1,2,3,4,5,6,7,8,9,10	1
F4	11	0,1,10	1,2,3,4,5,6,7,8,9,10	1
F5	11	0,1,2,4,7,9,10	1,2,3,4,5,6,7,8,9,10	1
F6	11	2,9	1,2,3,4,5,6,7,8,9,10	1
F7	11	0,1,3,5,6,8,10	1,2,3,4,5,6,7,8,9,10	1
P8	13	1,2,3,4,5,6,7,8,9,10,11,12	1,2,3,4,5,6,7,8,9,10,11,12	1
F1	13	1,5,8,12	1,2,3,4,5,6,7,8,9,10,11,12	1
F2	13	0	1,2,3,4,5,6,7,8,9,10,11,12	1
F3	13			1
F4	13		1,2,3,4,5,6,7,8,9,10,11,12	1
F5	13		1,2,3,4,5,6,7,8,9,10,11,12	1
F6	13	0	1,2,3,4,5,6,7,8,9,10,11,12	1
F7	13		1,2,3,4,5,6,7,8,9,10,11,12	1
