checking [ 3 ]           (997.b.997.1)
checking [ 11 ]          (353.a.353.1)
checking [ 12 ]          (762.a.3048.1)
checking [ 14 ]          (249.a.249.1)
checking [ 15 ]          (277.a.277.1)
checking [ 2, 6 ]        (704.a.45056.1)
checking [ 4 ]           (1070.a.2140.1)
checking [ 13 ]          (349.a.349.1)
checking [ 17 ]          (1996.b.510976.1)
checking [ 20 ]          (394.a.3152.1)
checking [ 22 ]          (1192.a.19072.1)
checking [ 2, 8 ]        (464.a.29696.1)
checking [ 2, 10 ]       (555.a.8325.1)
checking [ 40 ]          (1206.b.1 alpha)
checking [ 3, 3 ]        (5100.a.1 alpha)
checking [ 8 ]           (464.a.464.1)
checking [ 9 ]           (713.b.713.1)
checking [ 18 ]          (1180.a.18880.1)
checking [ 21 ]          (388.a.776.1)
checking [ 24 ]          (1908.a.183168.1)
checking [ 27 ]          (604.a.9664.2)
checking [ 29 ]          (976.a.999424.1)
checking [ 39 ]          (1116.a.214272.1)
checking [ 2, 4 ]        (997.a.997.1)
checking [ 2, 14 ]       (1416.b.135936.1)
checking [ 2, 2, 2 ]     (2600.a.338000.1)
checking [ 2, 2, 4 ]     (3978.a.930852.1)
checking [ 2, 2, 6 ]     (816.a.39168.1)
checking [ 26 ]          (11016.g.1 alpha)
checking [ 5 ]           (277.a.277.2)
checking [ 7 ]           (461.a.461.1)
checking [ 16 ]          (830.a.6640.1)
checking [ 28 ]          (249.a.6723.1)
checking [ 2, 12 ]       (762.a.82296.1)
checking [ 19 ]          (1468.b.1 alpha)
checking [ 23 ]          (1696.c.1 alpha)
checking [ 2, 16 ]       (4392.a.1 alpha)
checking [ 2, 18 ]       (4428.a.2 alpha)
checking [ 2, 2, 8 ]     (3942.b.3 alpha)
checking [ 10 ]          (389.a.389.1)
checking [ 2, 2 ]        (464.a.29696.2)
checking [ 2, 26 ]       (8136.c.1 alpha)
checking [ 2, 2, 10 ]    (10512.n.1 alpha)
checking [ 2, 2, 12 ]    (12300.e.2 alpha)
checking [ 2, 2, 2, 2 ]  (1575.c.1 alpha)
checking [ 3, 6 ]        (3780.b.1 alpha)
checking [ 2, 22 ]       (19044.h.2 alpha, RM)
checking [ 25 ]          (168750.e.2 alpha)
checking [ 33 ]          (13716.a.1 alpha)
checking [ 34 ]          (17856.m.1 alpha)
checking [ 36 ]          (59040.r.3 alpha)
checking [ 2, 28 ]       (28200.e.1 alpha)
checking [ 6 ]           (1038.a.1038.1)
checking [ 2, 2, 2, 6 ]  (39600.dq.1 alpha)
checking [ 30 ]          (8694.e.1 alpha)
checking [ 32 ]          (66852.b.1 alpha)
checking [ 2, 2, 2, 4 ]  (9450.b.2 alpha)
checking [ 2 ]           (295.a.295.2)
checking [ 2, 20 ]       (936600.b.1 alpha)
checking [ 4, 8 ]        (913500.cf.3 alpha)
checking [ 2, 4, 4 ]     (172260.bj.3 alpha)
checking [ 3, 9 ]        (8436.a.2 alpha)
checking [ 6, 6 ]        (new (this paper))
checking [ 2, 2, 2, 10 ]  (Elkies 2024)
checking [ 2, 4, 8 ]     (new (this paper))
checking [ 31 ]          (new: 1830.2.a.q, RM)
checking [ 4, 4 ]        (1575.c.14 alpha)
checking [ 2, 2, 2, 8 ]  (new (this paper))
checking [ 2, 2, 4, 4 ]  (new (this paper))
checking [ 2, 2, 14 ]    (new (this paper))
checking [ 2, 2, 20 ]    (new (this paper))
checking [ 2, 2, 2, 12 ]  (new (this paper))
ALL 72 CHECKS PASSED (2.0 s)
EXIT 0
