checking [ 12 ]          (294.a1)
checking [ 19 ]          (169.a1)
checking [ 2, 10 ]       (256.a1)
checking [ 15 ]          (484.a1)
checking [ 21 ]          (324.a1)
checking [ 14 ]          (1352.a1)
checking [ 2, 2, 6 ]     (600.a1)
checking [ 3, 9 ]        (2916.e2)
checking [ 5, 5 ]        (121.a1)
checking [ 9 ]           (722.a1)
checking [ 2, 2, 8 ]     (360.a1)
checking [ 3, 24 ]       (8100.e4)
checking [ 18 ]          (490.a1)
checking [ 20 ]          (363.a3)
checking [ 6, 6 ]        (196.a1)
checking [ 7 ]           (676.b3)
checking [ 3, 3 ]        (361.a1)
checking [ 36 ]          (4860.f1)
checking [ 48 ]          (1764.a1)
checking [ 28 ]          (4732.c1)
checking [ 30 ]          (4356.j1)
checking [ 3, 12 ]       (2700.c1)
checking [ 10 ]          (363.a2)
checking [ 25 ]          (42336.dw1)
checking [ 2, 12 ]       (450.a2)
checking [ 2, 24 ]       (1440.c2)
checking [ 4, 8 ]        (225.a2)
checking [ 8 ]           (300.a2)
checking [ 2, 4 ]        (225.a1)
checking [ 2, 16 ]       (4608.h5)
checking [ 2, 2, 4 ]     (225.a3)
checking [ 27 ]          (7776.e2)
checking [ 2, 6 ]        (196.a2)
checking [ 2, 14 ]       (86436.z3)
checking [ 60 ]          (13500.r4)
checking [ 2, 2, 2, 4 ]  (882.a5)
checking [ 2, 30 ]       (13068.f2)
checking [ 2, 20 ]       (30492.q2)
checking [ 2, 2, 2, 2 ]  (784.c1)
checking [ 2, 2, 2, 8 ]  (4410.d2)
checking [ 2, 2, 12 ]    (1350.d1)
checking [ 3, 6 ]        (196.a4)
checking [ 2, 2 ]        (256.a2)
checking [ 2, 2, 16 ]    (69300.bu1)
checking [ 4, 12 ]       (8100.j1)
checking [ 2, 18 ]       (64980.bo1)
checking [ 2, 2, 10 ]    (30492.q1)
checking [ 40 ]          (3168.i1)
checking [ 2, 6, 6 ]     (132300.eo2)
checking [ 2 ]           (336.a1)
checking [ 6 ]           (196.a3)
checking [ 2, 2, 2, 6 ]  (900.b2)
checking [ 2, 48 ]       (18900.e2)
checking [ 16 ]          (2700.d1)
checking [ 5, 10 ]       (85500.cj1)
checking [ 35 ]          (7436.a2)
checking [ 2, 4, 4 ]     (225.a5)
checking [ 4, 16 ]       (50400.dj1)
checking [ 2, 2, 2 ]     (315.a2)
checking [ 5 ]           (121.a2)
checking [ 24 ]          (300.a1)
checking [ 70 ]          (Howe 2015 Thm 2.4)
checking [ 4, 4 ]        (225.a6)
checking [ 2, 8 ]        (225.a8)
checking [ 3 ]           (324.a2)
checking [ 2, 2, 4, 4 ]  (new: 210.c5 x 2310.o4 gluing)
checking [ 4 ]           (289.a2)
checking [ 2, 4, 8 ]     (573300.ir1)
checking [ 6, 12 ]       (new: glue 30.a6 x cond-630)
checking [ 8, 8 ]        (new: glue 82110.bs5 x 210.e6)
checking [ 63 ]          (HLP eq (4) curve / lane8)
checking [ 7, 7 ]        (HLP sec 3.6 curve / lane8)
checking [ 2, 2, 24 ]    (new: HLP sec 3.7 cond (6) at (241/81,1/3))
checking [ 45 ]          (lane8 anchor (HLP sec 3.6 family))
checking [ 2, 2, 4, 8 ]  (new: HLP sec 3.7 cond (5) at (1/6,4/17))
ALL 75 CHECKS PASSED (3.3 s)
